INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.config.PropertySetter.setProperties(PropertySetter.java:104)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.PropertyConfigurator.parseAppender(PropertyConfigurator.java:842)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.PropertyConfigurator.parseCategory(PropertyConfigurator.java:768)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(PropertyConfigurator.java:672)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.log4j.PropertyConfigurator.doConfigure(PropertyConfigurator.java:516)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at de.hybris.platform.core.Log4JUtils.readConfig(Log4JUtils.java:103)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at de.hybris.platform.core.Log4JUtils.startup(Log4JUtils.java:56)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at de.hybris.platform.util.Utilities.<clinit>(Utilities.java:125)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at de.hybris.platform.util.logging.log4j2.HybrisLog4j2ConfigurationFactory.getConfiguration(HybrisLog4j2ConfigurationFactory.java:55)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.core.config.ConfigurationFactory$Factory.getConfiguration(ConfigurationFactory.java:353)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.core.config.ConfigurationFactory.getConfiguration(ConfigurationFactory.java:260)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.core.LoggerContext.reconfigure(LoggerContext.java:613)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.core.LoggerContext.reconfigure(LoggerContext.java:634)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.core.LoggerContext.start(LoggerContext.java:229)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.core.impl.Log4jContextFactory.getContext(Log4jContextFactory.java:152)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.core.impl.Log4jContextFactory.getContext(Log4jContextFactory.java:45)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.LogManager.getContext(LogManager.java:194)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.spi.AbstractLoggerAdapter.getContext(AbstractLoggerAdapter.java:122)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.slf4j.Log4jLoggerFactory.getContext(Log4jLoggerFactory.java:43)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.log4j.spi.AbstractLoggerAdapter.getLogger(AbstractLoggerAdapter.java:46)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.apache.logging.slf4j.Log4jLoggerFactory.getLogger(Log4jLoggerFactory.java:29)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | 	at org.slf4j.LoggerFactory.getLogger(LoggerFactory.java:358)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at de.hybris.platform.util.logging.HybrisLogger.<init>(HybrisLogger.java:104)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at de.hybris.platform.util.logging.HybrisLoggerFactory.makeNewLoggerInstance(HybrisLoggerFactory.java:31)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.log4j.Hierarchy.getLogger(Hierarchy.java:275)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(PropertyConfigurator.java:670)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.log4j.PropertyConfigurator.doConfigure(PropertyConfigurator.java:516)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at de.hybris.platform.core.Log4JUtils.readConfig(Log4JUtils.java:103)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at de.hybris.platform.core.Log4JUtils.startup(Log4JUtils.java:56)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at de.hybris.platform.core.Registry.lambda$0(Registry.java:81)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at de.hybris.platform.core.ClassLoaderUtils.executeWithWebClassLoaderParentIfNeeded(ClassLoaderUtils.java:42)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at de.hybris.platform.core.Registry.<clinit>(Registry.java:79)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at de.hybris.platform.servicelayer.web.DefaultXSSFilterConfig.<init>(DefaultXSSFilterConfig.java:46)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at de.hybris.platform.servicelayer.web.XSSFilter.init(XSSFilter.java:169)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.catalina.core.ApplicationFilterConfig.initFilter(ApplicationFilterConfig.java:285)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.catalina.core.ApplicationFilterConfig.getFilter(ApplicationFilterConfig.java:266)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.catalina.core.ApplicationFilterConfig.<init>(ApplicationFilterConfig.java:108)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.catalina.core.StandardContext.filterStart(StandardContext.java:4637)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.catalina.core.StandardContext.startInternal(StandardContext.java:5282)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:150)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1421)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1411)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at java.util.concurrent.FutureTask.run(FutureTask.java:266)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.947 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.047 | log4j:ERROR setFile(null,true) call failed.
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.047 | java.io.FileNotFoundException: /opt/CXCOMM181100P_1-70004085/hybris/log/performance.log (Permission denied)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.047 | 	at java.io.FileOutputStream.open0(Native Method)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at java.io.FileOutputStream.open(FileOutputStream.java:270)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:213)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at java.io.FileOutputStream.<init>(FileOutputStream.java:133)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.FileAppender.setFile(FileAppender.java:294)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.RollingFileAppender.setFile(RollingFileAppender.java:207)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.FileAppender.activateOptions(FileAppender.java:165)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.config.PropertySetter.activate(PropertySetter.java:307)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.config.PropertySetter.setProperties(PropertySetter.java:172)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.config.PropertySetter.setProperties(PropertySetter.java:104)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.PropertyConfigurator.parseAppender(PropertyConfigurator.java:842)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.PropertyConfigurator.parseCategory(PropertyConfigurator.java:768)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(PropertyConfigurator.java:672)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.log4j.PropertyConfigurator.doConfigure(PropertyConfigurator.java:516)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at de.hybris.platform.core.Log4JUtils.readConfig(Log4JUtils.java:103)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at de.hybris.platform.core.Log4JUtils.startup(Log4JUtils.java:56)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at de.hybris.platform.core.Registry.lambda$0(Registry.java:81)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at de.hybris.platform.core.ClassLoaderUtils.executeWithWebClassLoaderParentIfNeeded(ClassLoaderUtils.java:42)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at de.hybris.platform.core.Registry.<clinit>(Registry.java:79)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at de.hybris.platform.servicelayer.web.DefaultXSSFilterConfig.<init>(DefaultXSSFilterConfig.java:46)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at de.hybris.platform.servicelayer.web.XSSFilter.init(XSSFilter.java:169)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.catalina.core.ApplicationFilterConfig.initFilter(ApplicationFilterConfig.java:285)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.catalina.core.ApplicationFilterConfig.getFilter(ApplicationFilterConfig.java:266)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.catalina.core.ApplicationFilterConfig.<init>(ApplicationFilterConfig.java:108)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.catalina.core.StandardContext.filterStart(StandardContext.java:4637)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.catalina.core.StandardContext.startInternal(StandardContext.java:5282)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:150)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1421)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1411)
